"Is Active","Jest aktywny"
"Name","Nazwa"
"Type","Typ"
"-- Please Select --","-- Wybierz --"
"-- Please Select CMS Page --","-- Proszę wybrać stronę CMS --"
"-- Please Select Category --","-- Proszę wybrać kategorię --"
"Open link in new tab or window","Otwórz link w nowej zakładce lub w nowym oknie"
"Priority","Priorytet"
"Something went wrong while trying to delete menu item.","Element menu nie został usunięty z powodu błędu."
"Menu item is not available.","Element menu nie jest dostępny."
"There was menu item move error.","Wystąpił błąd podczas przenoszenia elementu menu."
"You moved menu item.","Element menu został przeniesiony."
"You cannot select yourself as parent. Please select different parent item.","Prosze wybrać inny element nadrzędny."
"Something went wrong while saving the menu.","Coś poszło nie tak podczas zapisywania elementu menu."
"You saved menu item.","Element menu został zapisany."
"Warning message","Komunikat ostrzegawczy"
"Are you sure you want to move item ?","Czy na pewno chcesz przenieść element ?"
"You deleted menu item.","Element menu został usunięty."
"New menu item","Nowy element menu"
"Add Item","Dodaj nowy element"
"Delete Item","Usuń element"
"Save Item","Zapisz element"
"Parent Item","Element nadrzędny"
"-- None --","-- Brak --"
"Category","Kategoria"
"CMS Page","Strona CMS"
"Custom link","Link niestandardowy"
"Yes","Tak"
"No","Nie"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
